gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
60,124,5,1.06706e+09,34991.4,27613,2,40,5
60,128,5,1.1205e+09,37825.4,27353.4,1,40,5
60,114,5,9.89404e+08,33407.8,27304.4,1,40,5
60,124,5,1.19357e+09,35988,25484,1,40,5
70,140,5,1.65684e+09,38758.4,30361.5,2,40,5
70,138,5,2.04375e+09,36581,28186.9,3,40,5
70,150,5,2.33474e+09,39687.1,31352.4,2,40,5
70,154,5,2.60902e+09,40602.4,31065.7,2,40,5
70,164,5,3.02098e+09,43652.7,34221,1,40,5
80,158,5,2.57935e+09,44609,32400.4,3,40,5
80,162,5,3.62905e+09,44942.5,33605,2,40,5
80,164,5,2.71477e+09,46653.5,36445.2,3,40,5
80,170,5,3.39628e+09,44838.7,32458.5,1,40,5
80,160,5,2.61163e+09,45738.6,37495,2,40,5
90,198,5,5.89684e+09,52172.1,37720.6,4,40,5
90,188,5,4.18851e+09,50236.2,39844.1,1,40,5
90,182,5,4.30662e+09,55493,38848.8,2,40,5
90,200,5,5.78982e+09,52120.1,37616.6,3,40,5
90,200,5,4.01194e+09,51130.1,39106.8,3,40,5
100,180,5,4.30037e+09,53618.2,39384,3,40,5
100,202,5,6.83234e+09,57047.2,42501.1,3,40,5
100,190,5,4.43942e+09,62542.7,44090.3,3,40,5
100,200,5,5.23931e+09,54577.5,42086.1,3,40,5
100,212,5,6.82804e+09,59297.3,43927.8,1,40,5
110,234,5,1.01248e+10,62899.7,45077.9,4,40,5
110,220,5,7.40344e+09,54805.2,43067.6,4,40,5
110,222,5,6.05234e+09,68732.6,50637,3,40,5
110,234,5,9.75295e+09,65025.5,43784.5,2,40,5
110,224,5,7.3771e+09,64034,46189.6,3,40,5
120,244,5,1.0686e+10,69571.2,48963.4,3,40,5
120,234,5,9.70884e+09,72195.7,52746.6,2,40,5
120,230,5,9.18921e+09,71463.1,49304,2,40,5
120,246,5,1.034e+10,66235.1,49268.8,3,40,5
120,246,5,8.98801e+09,66487.2,50592.3,2,40,5
130,250,5,1.23167e+10,73106,50723,2,40,5
130,248,5,1.25039e+10,75950.9,51157.8,3,40,5
130,260,5,1.25967e+10,70738.8,52834.3,1,40,5
130,274,5,1.58116e+10,71483,51046.1,2,40,5
130,262,5,1.24698e+10,73132.9,56178.4,2,40,5
140,292,5,1.82082e+10,80295,52398.6,3,40,5
140,294,5,1.69463e+10,75641.1,58664.2,2,40,5
140,282,5,1.7156e+10,77612,57099.9,5,40,5
140,272,5,1.63831e+10,74882.8,52770.7,4,40,5
140,284,5,1.76647e+10,72571.4,54107.9,4,40,5
10,20,5,1.1522e+07,5928.23,5860.04,1,50,5
10,22,5,1.4717e+07,7332.09,6286.45,1,50,5
10,20,5,1.3727e+07,5625.38,5301.61,1,50,5
10,26,5,2.6813e+07,6751.18,6181.21,1,50,5
10,20,5,1.0989e+07,8128.46,5933.14,1,50,5
20,42,5,3.9207e+07,13523.3,10705.3,1,50,5
20,44,5,5.7255e+07,11953.4,10879.2,1,50,5
20,40,5,5.4805e+07,12509.2,11697,1,50,5
20,50,5,1.16407e+08,11792.3,10990.2,1,50,5
20,40,5,4.7753e+07,13564.7,11151.4,1,50,5
30,54,5,1.60278e+08,18338,16646,1,50,5
30,56,5,1.53157e+08,20312.1,13986.8,1,50,5
30,56,5,1.24387e+08,16564.6,16007.1,1,50,5
30,64,5,1.30086e+08,18780,17034.1,1,50,5
30,62,5,1.44789e+08,18481.6,16962,1,50,5
40,80,5,4.5466e+08,24961.3,16676,1,50,5
40,80,5,2.67596e+08,24878.7,20389.3,2,50,5
40,82,5,3.49871e+08,23313.5,20489.7,1,50,5
40,70,5,3.30101e+08,23393.3,17164.9,1,50,5
40,82,5,2.29867e+08,21875.4,17049.5,2,50,5
50,110,5,1.18497e+09,31067.3,23728.5,2,50,5
50,98,5,6.19488e+08,29183.9,22529.9,1,50,5
50,92,5,7.66638e+08,27321.5,20577.9,2,50,5
50,110,5,9.68832e+08,31727.4,23557.9,1,50,5
50,96,5,5.81516e+08,30804.4,25358,1,50,5
60,136,5,1.89076e+09,39283.2,27433.5,2,50,5
60,124,5,1.52101e+09,34991.4,28685.9,2,50,5
60,128,5,1.76086e+09,37825.4,30036.5,2,50,5
60,114,5,1.19174e+09,33407.8,25266.8,1,50,5
60,124,5,1.76864e+09,35988,24237.6,2,50,5
70,140,5,2.0869e+09,38758.4,30630.9,2,50,5
70,138,5,2.19621e+09,36581,28939.9,2,50,5
70,150,5,2.25468e+09,39687.1,31752.6,3,50,5
70,154,5,2.7588e+09,40602.4,31662.1,2,50,5
70,164,5,3.34975e+09,43652.7,33724.1,3,50,5
80,158,5,3.37998e+09,44609,33815.2,2,50,5
80,162,5,4.2537e+09,44942.5,33773.2,2,50,5
80,164,5,4.27315e+09,46653.5,34077.1,2,50,5
80,170,5,4.40162e+09,44838.7,34293.2,2,50,5
80,160,5,3.44019e+09,45738.6,34252.7,3,50,5
90,198,5,6.68586e+09,52172.1,36412.1,3,50,5
90,188,5,5.09961e+09,50236.2,40715.5,2,50,5
90,182,5,5.41231e+09,55493,39802.9,2,50,5
90,200,5,8.00721e+09,52120.1,37868.7,2,50,5
90,200,5,5.99764e+09,51130.1,41250.1,3,50,5
